date,underlying,expiry,strategy_type,legs,strategy_id
2024-09-17,NIFTY,2024-09-19 00:00:00,Strangle,25600.0-CE--25;25100.0-PE--25,20240917_NIFTY_2024-09-19 00:00:00_Strangle_25600.0_CE_-1|25100.0_PE_-1
2024-09-18,NIFTY,2024-09-19 00:00:00,Strangle,25500.0-CE--25;25100.0-PE--25,20240918_NIFTY_2024-09-19 00:00:00_Strangle_25500.0_CE_-1|25100.0_PE_-1
2024-09-18,NIFTY,2024-09-19 00:00:00,Naked Call Sell,25600.0-CE--25,20240918_NIFTY_2024-09-19 00:00:00_Naked Call Sell_25600.0_CE_-1
2024-09-19,NIFTY,2024-09-19 00:00:00,Strangle,25500.0-CE--25;25100.0-PE--25,20240919_NIFTY_2024-09-19 00:00:00_Strangle_25500.0_CE_-1|25100.0_PE_-1
2024-09-20,NIFTY,2024-09-26 00:00:00,Naked Put Sell,25300.0-PE--25,20240920_NIFTY_2024-09-26 00:00:00_Naked Put Sell_25300.0_PE_-1
2024-09-23,NIFTY,2024-09-26 00:00:00,Naked Put Sell,25300.0-PE--25,20240923_NIFTY_2024-09-26 00:00:00_Naked Put Sell_25300.0_PE_-1
2024-09-24,NIFTY,2024-09-26 00:00:00,Strangle,26200.0-CE--25;25300.0-PE--25,20240924_NIFTY_2024-09-26 00:00:00_Strangle_26200.0_CE_-1|25300.0_PE_-1
2024-09-24,NIFTY,2024-09-26 00:00:00,Naked Put Sell,25700.0-PE--25,20240924_NIFTY_2024-09-26 00:00:00_Naked Put Sell_25700.0_PE_-1
2024-09-25,NIFTY,2024-09-26 00:00:00,Strangle,26200.0-CE--25;25700.0-PE--25,20240925_NIFTY_2024-09-26 00:00:00_Strangle_26200.0_CE_-1|25700.0_PE_-1
2024-09-26,NIFTY,2024-09-26 00:00:00,Straddle,26200.0-CE--25;26200.0-PE--25,20240926_NIFTY_2024-09-26 00:00:00_Straddle_26200.0_CE_-1|26200.0_PE_-1
2024-09-26,NIFTY,2024-09-26 00:00:00,Naked Put Sell,25700.0-PE--25,20240926_NIFTY_2024-09-26 00:00:00_Naked Put Sell_25700.0_PE_-1
2024-09-27,NIFTY,2024-10-03 00:00:00,Strangle,26600.0-CE--25;25900.0-PE--25,20240927_NIFTY_2024-10-03 00:00:00_Strangle_26600.0_CE_-1|25900.0_PE_-1
2024-09-30,NIFTY,2024-10-03 00:00:00,Strangle,26200.0-CE--25;25900.0-PE--25,20240930_NIFTY_2024-10-03 00:00:00_Strangle_26200.0_CE_-1|25900.0_PE_-1
2024-09-30,NIFTY,2024-10-03 00:00:00,Naked Call Sell,26600.0-CE--25,20240930_NIFTY_2024-10-03 00:00:00_Naked Call Sell_26600.0_CE_-1
2024-10-01,NIFTY,2024-10-03 00:00:00,Strangle,25800.0-CE--25;25900.0-PE--25,20241001_NIFTY_2024-10-03 00:00:00_Strangle_25800.0_CE_-1|25900.0_PE_-1
2024-10-01,NIFTY,2024-10-03 00:00:00,Naked Call Sell,26200.0-CE--25,20241001_NIFTY_2024-10-03 00:00:00_Naked Call Sell_26200.0_CE_-1
2024-10-02,NIFTY,2024-10-03 00:00:00,Strangle,25800.0-CE--25;25900.0-PE--25,20241002_NIFTY_2024-10-03 00:00:00_Strangle_25800.0_CE_-1|25900.0_PE_-1
